CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
TCKU6291286,CMA CGM J.MADISON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/9/2021,11/12/2021,1/6/2022,1/14/2022,1/17/2022,1/10/2022,Yes,1/19/2022,?
MEDU4738612,HR RHEA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",12/14/2021,12/18/2021,3/16/2022,,4/2/2022,2/16/2022,,,?
YMLU8609738,ONE MANEUVER,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/2/2021,12/2/2021,1/3/2022,12/31/1899,1/13/2022,1/10/2022,Yes,1/13/2022,?
EMCU8202999,NAGALEADER,NINGBO YUE SHENG INTERNATIONAL,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Houston, Texas, United States","Houston, Texas, United States",11/26/2021,11/26/2021,1/24/2022,12/31/1899,2/1/2022,1/26/2022,Yes,2/9/2022,?
HPCU4131895,CMA CGM LYRA,NINGBO YUE SHENG INTERNATIONAL NINGBO YUE SHENG INTERNATIONAL,,"Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",11/26/2021,11/26/2021,1/16/2022,1/21/2022,1/24/2022,1/18/2022,,,?
HPCU4152136,,2nd charter,,,,,,,,,,,Yes,1/4/2022,?
CICU2060812,PRESIDENT CLEVELAND,Arttime,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",11/13/2021,11/20/2021,12/18/2021,12/24/2021,12/28/2021,12/22/2021,Yes,12/30/2021,?
CICU2173676,,2nd charter,,,,,,,,,,,Yes,12/20/2021,?
GVTU5088131,OOCL BANGKOK,YUE SHENG,,"Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/11/2021,11/11/2021,12/18/2021,12/24/2021,12/28/2021,12/22/2021,Yes,1/4/2022,?
UETU5521600,CMA CGM J.MADISON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/8/2021,11/15/2021,1/6/2022,1/14/2022,1/17/2022,1/10/2022,Yes,1/19/2022,?
ARTU4520610,MSC JOSSELINE,Yihuida,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",11/11/2021,11/11/2021,1/14/2022,1/18/2022,1/19/2022,1/18/2022,Yes,1/21/2022,?
TXGU6672850,EVER LINKING,Evergreen,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/1/2021,12/1/2021,,1/30/2022,1/31/2022,1/31/2022,Yes,2/2/2022,?
CICU2173634,,2nd charter,,,,,,,,,,,Yes,12/30/2021,?
RXTU4258752,GERNER MAERSK,Yihuida,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",11/26/2021,11/26/2021,2/3/2022,2/11/2022,2/11/2022,2/8/2022,Yes,2/16/2022,?
OOCU9025206,,arrtime,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China",,"Dallas, Texas, United States",10/12/2021,10/15/2021,,12/7/2021,12/9/2021,12/4/2021,Yes,12/9/2021,?
TCNU6203910,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/9/2021,12/13/2021,1/31/2022,2/5/2022,2/7/2022,2/4/2022,,,?
HPCU4152861,,2nd charter,,,,,,,,,,,,,?
OOCU8692740,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/24/2021,11/16/2021,12/3/2021,12/10/2021,12/10/2021,12/9/2021,Yes,12/13/2021,?
TLLU5002445TLLU5002445,,LF,,,,,,,,,,,,,?
UESU4770728,CMA CGM LOIRE,Yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",11/23/2021,11/23/2021,1/5/2022,1/26/2022,1/28/2022,1/26/2022,Yes,1/31/2022,?
NYKU4833690,ONE MAXIM,YUE SHENG,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",11/30/2021,12/13/2021,1/23/2022,12/31/1899,1/26/2022,1/22/2022,Yes,1/26/2022,?
MEDU1077695,KOTA BAHAGIA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",10/27/2021,10/31/2021,2/1/2022,2/12/2022,2/14/2022,2/12/2022,Yes,2/16/2022,?
TEMU6704379,YM UPSURGENCE,arrtime,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",10/9/2021,10/14/2021,12/30/2021,1/2/2022,1/5/2022,1/5/2022,Yes,1/11/2022,?
DFSU6319766,OOCL UTAH,arrtime,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/17/2021,10/27/2021,12/20/2021,12/24/2021,12/27/2021,12/22/2021,,,?
XHCU5229335,,2nd Charter,,,,,,,,,12/23/2021,,Yes,12/23/2021,?
HPCU4153868,,2nd charter,,,,,,,,,,,Yes,1/3/2022,?
CICU2173887,,2nd charter,,,,,,,,,,,Yes,12/20/2021,?
HCOU5275712,,YIHUIDA,,,,,,,,,1/16/2022,,,,?
EGSU9048737,EVER LEADER,Evergreen,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/21/2021,12/21/2021,1/22/2022,1/23/2022,1/24/2022,1/22/2022,Yes,1/25/2022,?
TRLU6656375,CMA CGM G.WASHINGTON,Yuesheng,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",1/5/2022,1/8/2022,3/4/2022,,3/21/2022,2/16/2022,,,?
TGBU8931005,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/24/2021,11/16/2021,12/3/2021,12/9/2021,12/9/2021,12/4/2021,Yes,12/10/2021,?
HPCU4132000HPCU4132000,,,,,,,,,,,,,,,?
CEOU6022106,,YIHUIDA,,,,,,,,,12/9/2021,,Yes,12/10/2021,?
TGSU5017033,,YIHUIDA,,,,,,,,,12/27/2021,,Yes,1/6/2022,?
MSMU7684410,MSC IVANA,YIHUIDA,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Oakland, California, United States","Dallas, Texas, United States",11/6/2021,11/15/2021,2/18/2022,2/23/2022,2/27/2022,2/16/2022,,,?
ACCU5020785,PRESIDENT FD ROOSEVELT,Yihuida,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",11/29/2021,12/5/2021,1/3/2022,1/11/2022,1/18/2022,1/18/2022,Yes,1/20/2022,?
TRHU5616240,CMA CGM ANDROMEDA,LF,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",10/16/2021,10/21/2021,11/19/2021,12/6/2021,12/6/2021,12/4/2021,Yes,12/7/2021,?
CBHU9027787,OOCL TOKYO,Axoim,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/31/2021,11/21/2021,12/5/2021,12/13/2021,12/14/2021,12/10/2021,Yes,12/15/2021,?
TCNU6866195,CMA CGM ANDROMEDA,LF,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",10/16/2021,10/21/2021,11/19/2021,12/6/2021,12/7/2021,12/6/2021,Yes,12/8/2021,?
OOLU8962029,OOCL EGYPT,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/9/2021,11/12/2021,11/26/2021,12/1/2021,12/8/2021,12/6/2021,Yes,12/9/2021,?
OOCU8701939,COSCO NETHERLANDS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/22/2021,11/28/2021,1/3/2022,1/9/2022,1/10/2022,1/10/2022,Yes,,?
MAGU5648773,COSCO SHIPPING ROSE,Arttime,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",1/12/2022,1/12/2022,2/18/2022,2/22/2022,2/26/2022,2/19/2022,,,?
OOCU8056476,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",11/11/2021,11/16/2021,11/30/2021,12/5/2021,12/7/2021,12/6/2021,Yes,,?
OOCU7555510,COSCO SHIPPING DENALI,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",12/6/2021,12/10/2021,1/4/2022,1/11/2022,1/13/2022,1/11/2022,Yes,1/14/2022,?
CMAU5498950,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/6/2021,12/10/2021,1/31/2022,2/6/2022,2/9/2022,2/8/2022,Yes,2/11/2022,?
TCNU3346570,CMA CGM MARCO POLO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/25/2021,12/4/2021,1/18/2022,1/24/2022,1/26/2022,1/22/2022,Yes,1/27/2022,?
ARTU4520477,PRESIDENT KENNEDY,YIHUIDA,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",11/15/2021,11/15/2021,12/2/2021,12/10/2021,12/10/2021,12/9/2021,Yes,12/13/2021,?
ARTU4520651,PRESIDENT KENNEDY,YIHUIDA,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",11/16/2021,11/16/2021,12/18/2021,12/24/2021,12/28/2021,12/22/2021,Yes,1/7/2022,?
SEGU4530055,CMA CGM ORFEO,jas,"Mumbai, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","New York City, New York, United States","New York City, New York, United States",10/28/2021,11/9/2021,1/4/2022,12/5/2021,1/21/2022,1/26/2022,,,?
UETU5865966,COSCO SPAIN,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/23/2021,11/27/2021,12/27/2021,1/2/2022,1/6/2022,1/3/2022,,,?
OOCU8789909,OOCL TAIPEI,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",1/28/2022,2/10/2022,3/3/2022,3/12/2022,3/16/2022,2/16/2022,,,?
GCXU5381200,CMA CGM J.MADISON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/12/2021,11/15/2021,1/8/2022,1/13/2022,1/14/2022,1/14/2022,Yes,1/14/2022,?
TDTU0647465,CMA CGM CHILE,LF,,,,,,,,,2/7/2022,2/5/2022,Yes,2/8/2022,?
SUDU8907363,MAERSK BALTIMORE,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",11/6/2021,11/8/2021,12/25/2021,12/26/2021,12/28/2021,12/22/2021,Yes,12/29/2021,?
TLLU7672894,CMA CGM J.MADISON,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/9/2021,11/14/2021,1/6/2022,1/13/2022,1/14/2022,1/14/2022,Yes,1/18/2022,?
TCNU8791520,MSC IVANA,YIHUIDA,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Oakland, California, United States","Dallas, Texas, United States",11/5/2021,11/15/2021,2/18/2022,2/23/2022,2/27/2022,2/16/2022,,,?
TCLU7739900,MSC IVANA,YIHUIDA,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Oakland, California, United States","Dallas, Texas, United States",11/6/2021,11/15/2021,2/18/2022,2/23/2022,2/27/2022,2/16/2022,,,?
GLDU0869891,MSC IVANA,YIHUIDA,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Oakland, California, United States","Dallas, Texas, United States",11/6/2021,11/15/2021,2/18/2022,2/22/2022,2/26/2022,2/16/2022,,,?
MEDU8653961,MSC RANIA,JAS,"Sonipat, State of Haryana, India","Mundra, State of Gujarat, India","Houston, Texas, United States","Houston, Texas, United States",10/28/2021,11/14/2021,12/23/2021,,1/9/2022,12/28/2021,Yes,12/30/2021,?
BMOU6454574,CMA CGM GEMINI,arrtime,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",11/29/2021,11/30/2021,1/6/2022,1/26/2022,1/27/2022,1/26/2022,,,?
TCNU3298110,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",1/5/2022,1/13/2022,1/31/2022,2/8/2022,2/10/2022,2/8/2022,Yes,2/16/2022,?
CMAU7334410,APL COLUMBUS,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/3/2021,12/3/2021,2/17/2022,2/18/2022,3/6/2022,2/8/2022,,,?
TGBU4901785,COSCO SPAIN,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/23/2021,11/27/2021,12/29/2021,1/5/2022,1/7/2022,1/3/2022,Yes,1/12/2022,?
RXTU4259785,CMA CGM GEMINI,Yihuida,,"Shanghai, Shanghai Shi, China","Oakland, California, United States","Dallas, Texas, United States",12/10/2021,12/10/2021,1/8/2022,2/9/2022,2/11/2022,2/8/2022,Yes,2/17/2022,?
TCNU6567281,OOCL UTAH,arrtime,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/17/2021,10/26/2021,12/20/2021,12/25/2021,12/27/2021,12/22/2021,Yes,2/18/2022,?
OOLU4335988,COSCO SHIPPING AQUARIUS,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/10/2021,11/17/2021,12/3/2021,12/11/2021,12/10/2021,12/6/2021,Yes,12/13/2021,?
MRSU4548853,CAP JACKSON,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",11/4/2021,11/5/2021,12/21/2021,12/19/2021,12/21/2021,12/17/2021,Yes,12/23/2021,?
SEGU4619538,APL COLUMBUS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/3/2021,12/5/2021,2/18/2022,2/28/2022,3/4/2022,2/16/2022,,,?
CAIU7069119,APL VANCOUVER,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",12/10/2021,12/12/2021,2/19/2022,2/25/2022,3/1/2022,2/16/2022,,,?
HJMU1915170,PRESIDENT WILSON,YIHUIDA,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",12/12/2021,12/12/2021,1/26/2022,2/5/2022,2/7/2022,2/4/2022,Yes,2/9/2022,?
SEKU5895005,APL COLUMBUS,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/3/2021,12/4/2021,2/17/2022,2/18/2022,3/6/2022,2/8/2022,,,?
TCNU6593193,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",11/14/2021,11/21/2021,12/6/2021,12/13/2021,12/14/2021,12/10/2021,Yes,12/15/2021,?
FWRU0117781,,Yihuida,,,,,,,,,,,,,?
SEGU4615070,APL COLUMBUS,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",12/3/2021,12/4/2021,,2/22/2022,2/26/2022,2/16/2022,,,?
SEKU4492751,CMA CGM MARCO POLO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/25/2021,11/28/2021,1/18/2022,1/24/2022,1/26/2022,1/22/2022,,,?
CBHU8801137,CSCL SPRING,YIHUIDA,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",11/21/2021,11/24/2021,2/12/2022,2/21/2022,2/25/2022,2/16/2022,,,?
UETU5163569,COSCO NETHERLANDS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/30/2021,12/3/2021,12/30/2021,1/6/2022,1/10/2022,1/5/2022,Yes,1/12/2022,?
CMAU7951367,APL COLUMBUS,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/3/2021,12/5/2021,2/18/2022,2/28/2022,3/4/2022,2/16/2022,,,?
CRSU9112944,CONTI MAKALU,sumec,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",12/16/2021,12/19/2021,2/11/2022,12/31/1899,2/15/2022,2/12/2022,Yes,2/17/2022,?
TCKU7677458,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/7/2021,11/17/2021,12/10/2021,12/20/2021,12/21/2021,12/18/2021,Yes,12/22/2021,?
BSIU9409065,ONE MOTIVATOR,YUE SHENG,"Jiaxing, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/8/2021,12/8/2021,,12/31/1899,1/24/2022,1/18/2022,Yes,1/26/2022,?
MRSU5286552,MAERSK ONTARIO,sumec,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",11/4/2021,11/4/2021,12/21/2021,12/31/1899,12/28/2021,12/22/2021,Yes,12/30/2021,?
HPCU4152563,,2nd charter,,,,,,,,,,,Yes,1/4/2022,?
OOCU7898314,COSCO NETHERLANDS,arrtime,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/30/2021,12/3/2021,12/27/2021,1/3/2022,1/6/2022,1/5/2022,Yes,1/11/2022,?
MRKU3319905,GSL KITHIRA,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",10/28/2021,10/29/2021,12/13/2021,12/12/2021,12/15/2021,12/13/2021,Yes,12/20/2021,?
HPCU4132000,CMA CGM LYRA,ningbo yue sheng,,"Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",11/27/2021,11/27/2021,1/16/2022,1/21/2022,1/24/2022,1/18/2022,Yes,1/26/2022,?
MSCU5196211,KOTA BAHAGIA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",10/27/2021,10/31/2021,2/1/2022,2/19/2022,2/23/2022,2/16/2022,,,?
CXDU2291755,APL COLUMBUS,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",12/3/2021,12/4/2021,1/19/2022,2/11/2022,2/15/2022,2/12/2022,Yes,2/17/2022,?
TRHU6880556,ONE MISSION,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/17/2021,12/22/2021,2/2/2022,12/31/1899,2/8/2022,2/4/2022,Yes,2/9/2022,?
OOCU8425785,VANCOUVER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",12/14/2021,12/17/2021,1/17/2022,1/24/2022,1/26/2022,1/22/2022,Yes,1/31/2022,?
TGBU8696272,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/31/2021,11/21/2021,12/8/2021,12/14/2021,12/15/2021,12/13/2021,Yes,12/16/2021,?
TRLU7261512,CMA CGM LEO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",12/28/2021,12/30/2021,2/8/2022,2/20/2022,2/24/2022,2/18/2022,,,?
TFLU4994240,,4PX,,,,,,,,,,,Yes,12/22/2021,?
OOCU7767736,COSCO SHIPPING TAURUS,Tianjin Fujing,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Houston, Texas, United States","Dallas, Texas, United States",12/1/2021,12/5/2021,2/8/2022,12/31/1899,2/16/2022,2/12/2022,Yes,2/17/2022,?
XHCU5064615,,1st charter,,,,,,,,,,,Yes,11/12/2021,?
CICU2173378,,2nd charter,,,,,,,,,,,Yes,1/3/2022,?
OOLU4416971,COSCO ITALY,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/13/2021,12/16/2021,1/8/2022,1/17/2022,1/18/2022,1/17/2022,Yes,1/20/2022,?
TRHU4400745,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/19/2021,11/23/2021,12/11/2021,12/20/2021,12/22/2021,12/18/2021,,,?
CAIU8646175,ONE MOTIVATOR,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/4/2021,12/8/2021,1/17/2022,12/31/1899,1/25/2022,1/18/2022,Yes,,?
CMAU6917413,CMA CGM LEO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",12/25/2021,12/30/2021,2/8/2022,2/18/2022,2/21/2022,2/18/2022,,,?
ARTU4523326,,YUE SHENG,,,,,,,,,,,,,?
HPCU4152331,,2nd Charter,,,,,,,,,1/6/2022,,Yes,1/6/2022,?
CSNU7399145,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/7/2021,11/17/2021,12/10/2021,12/20/2021,12/20/2021,12/17/2021,Yes,12/20/2021,?
CICU2173167,,2nd charter,,,,,,,,,,,Yes,12/28/2021,?
TGHU6326964,CMA CGM CHILE,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/8/2021,12/12/2021,1/31/2022,2/5/2022,2/7/2022,2/4/2022,Yes,2/8/2022,?
CXDU2385330,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/8/2021,12/12/2021,1/31/2022,2/4/2022,2/7/2022,2/4/2022,Yes,2/8/2022,?
OOLU7845687,COSCO SHIPPING AQUARIUS,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/10/2021,11/17/2021,12/7/2021,12/13/2021,12/14/2021,12/13/2021,Yes,12/15/2021,?
TCNU3020794,ONE MAXIM,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/11/2021,12/16/2021,1/23/2022,12/31/1899,1/26/2022,1/22/2022,Yes,1/27/2022,?
GESU5730990,CMA CGM LA SCALA,Yuesheng,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",12/13/2021,12/13/2021,1/25/2022,12/31/1899,2/2/2022,1/26/2022,Yes,2/8/2022,?
APHU7052379,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/6/2021,12/10/2021,1/31/2022,2/6/2022,2/8/2022,2/8/2022,Yes,,?
CMAU7515255,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/7/2021,12/12/2021,1/31/2022,2/4/2022,2/7/2022,2/4/2022,Yes,2/8/2022,?
OOLU8794120,COSCO ENGLAND,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/6/2021,12/16/2021,1/15/2022,1/23/2022,1/21/2022,1/18/2022,Yes,1/25/2022,?
TLLU5564550,ONE MAXIM,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",12/11/2021,12/16/2021,1/23/2022,12/31/1899,1/28/2022,1/26/2022,Yes,1/28/2022,?
